length of rights,name,ltm,$ age,ask,bid,ask multiplier,bid multiplier
10,Songwriter Royalties - Hamza Namira & Maher Zain,25497,7.06,"$150,000",0,5.883045064,
10,Do Or Die - Songwriter Royalties,1262,11.78,0,0,,
7.13,10-Year-Old Consistent Rock from Evans Blue,930,11.34,"$7,500","$3,100",8.064516129,3.333333333
7.84,Christina Perri Performance Royalties,588,9.96,"$4,076",0,6.931972789,
5.95,Music From Popular Children’s TV Series,3362,11.77,"$20,299",0,6.037775134,
9.94,Songwriter Royalties - Reality TV Franchises,8146,5.75,0,0,,
10,"Songwriter Royalties - BTS, Eric Bellinger + More",21257,2.5,"$150,000",0,7.056499036,
6.07,"Catalog Featuring Pop, Country, Christian & Rock",10623,7.68,0,0,,
6.81,Hip-Hop royalties from Hoodie Allen Ft. Ed Sheeran,2113,7.89,"$16,995",0,8.04306673,
7.47,G-Eazy Track “No Limit” Featuring Cardi B,1754,4.19,"$27,391",0,15.61630559,
8.8,"Tim Legend - ""Hope"" ft. Brave",1725,6,"$13,587",0,7.876521739,
6.16,Grammy-Awarded Artist Chris Brown,2716,6.05,"$20,652",0,7.603829161,
9.76,"Film/TV Music: Austin And Ally, Four Weddings, + More",2221,5.94,"$19,565","$9,985",8.809095002,4.495722647
7.1,"Southern Hip-Hop: Huey's ""Pop, Lock & Drop It""",1520,15.71,"$14,022",0,9.225,
7.13,"""Why You Always Hatin?"" YG feat. Drake",2701,6,"$17,599",0,6.515734913,
7.11,International Pop & Hip-Hop Catalog,2333,6.09,"$12,500",0,5.357908273,
6.08,International Catalog Featuring Shakira and More,4784,8.29,"$45,109",0,9.429138796,
7.43,Migos “First 48” Publishing Royalties,1333,6.33,0,0,,
7.32,Lil’ Kim’s “Crush On You” + Beyoncé & Drake,4369,11.57,0,"$11,993",,2.745021744
9.27,Indie Hip-Hop/Soul - Songwriter Royalties,2267,4.11,0,0,,
6.93,Streaming Hip-Hop Catalog,1024,7.73,"$7,999",0,7.811523438,
6.46,Jay-Z’s Multi-Platinum “Empire State of Mind”,45281,12.63,0,0,,
7.04,Pop & Hip-Hop With International Influence,910,9.68,"$6,957",0,7.645054945,
7,International Pop Featuring Australian Artists,2071,4.86,"$15,217",0,7.347658136,
6.47,Hip-Hop: 2X Platinum Hit and More,6110,9.56,0,"$14,826",,2.426513912
7.12,Contemporary Christian & Gospel Collection,261,4.85,"$6,000",0,22.98850575,
7.51,Strong International Royalties - Ralf Gum & The Chemical Brothers,824,8.87,"$10,870",0,13.19174757,
6.29,Production Music With Hundreds of Placements,4951,7.4,"$39,999",0,8.078973945,
7.13,Consistent Streaming: Pop/Punk Catalog,10012,6,"$54,999",0,5.49330803,
7.21,Streaming-Driven Hip-Hop From RiFF RAFF,399,5.23,"$3,990",0,10,
7.2,Streaming-Driven Latin Hip-Hop,749,5.25,"$5,435",0,7.256341789,
5.84,60s Latin Music Sampled by Christina Aguilera,4955,13.47,0,0,,
6.45,Multi-Platinum Ariana Grande & Justin Bieber,2823,8.25,"$19,661",0,6.964576691,
6.93,Hit Tracks from Disney’s Descendants,10175,5.27,0,0,,
9.09,"""America's Got Talent"" + More - TV and Film Placements",18237,5.11,"$99,999",0,5.483303175,
9.58,"Cues from Four Weddings, Chicago PD, & The Office",3218,10.86,0,0,,
6.68,New Hip-Hop Earnings from Streaming,2559,4.8,"$53,419",0,20.87495115,
8.31,"Pop: Enrique Iglesias, Rihanna, Jay Sean & Ciara",8942,12.22,"$65,217",0,7.293334824,
5.98,R&B & Pop Catalog: Featuring Trey Songz,727,7.7,"$13,043",0,17.94085282,
6.9,Queens of the Stone Age - Songwriting Royalties,2135,19.35,"$75,000",0,35.12880562,
8.01,J. Cole Performance Royalties,16416,5.52,"$119,000",0,7.249025341,
7.84,"Performance Royalties: T.I., Meek Mill, & Eminem",1416,5.21,"$11,859",0,8.375,
7.67,Kygo’s Platinum Hit “Stole The Show”,23107,7.23,"$195,652",0,8.467217726,
7.3,Electronic Music feat. Bernard Wright,8584,17.81,"$64,103",0,7.467730662,
7.32,K-Pop Royalties Feat. Red Velvet,3289,6.48,"$22,900",0,6.962602615,
6.39,Electronic/Dance Artist RUNAGROUND,1225,7.05,"$27,174",0,22.18285714,
6.48,Rising Hip-Hop Artist Russ,829,6,"$13,355",0,16.10977081,
7.54,"R&B From Usher, Mary J. Blige, Chris Brown",21811,6.63,"$139,000",0,6.37293109,
7.38,Blackbear “I Miss The Old U”,3025,5,"$27,174",0,8.983140496,
7.12,"""Fire & Desire"" from Drake and more",6691,10.07,"$44,900",0,6.710506651,
5.84,“Flawless” From Beyoncé + More,7739,7.6,"$119,565",0,15.4496705,
7.29,2X Platinum “My Way” from Fetty Wap,13982,7,"$82,500",0,5.900443427,
6.89,"Hip-Hop Superstars: Cardi B, Wiz Khalifa + More",10919,5.18,"$90,217",0,8.262386665,
