name,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,2020-05-01 00:00:00,2020-06-01 00:00:00,2020-07-01 00:00:00,2020-08-01 00:00:00,2020-09-01 00:00:00,2020-10-01 00:00:00,2020-11-01 00:00:00,2020-12-01 00:00:00,2021-01-01 00:00:00,2021-02-01 00:00:00,2021-03-01 00:00:00,2021-04-01 00:00:00,2021-05-01 00:00:00,2021-06-01 00:00:00,2021-07-01 00:00:00,2021-08-01 00:00:00,2021-09-01 00:00:00,2021-10-01 00:00:00,2021-11-01 00:00:00,2021-12-01 00:00:00
Various Artists,141934960,139334878,141198372,144875923,145320422,147163607,151153543,156591285,158989330,160611326,164741557,169885342,180516491,173337321,176726335,178265209,180046941,183927592,186296639,192188827,194885581,199081562,198161623,203415387,215025903,203322496,208994346,202243893,202787904,205006304,206128530,207876242,210868523,214789551,217584561,222083709
Ariana Grande,60550904,50156536,56643075,52588741,49755188,43857274,41137132,38780329,47054130,48415747,45490340,49635834,62596013,45326588,42170217,40106818,38162182,52474549,57926281,56150475,52838875,50435169,52734796,68869608,82104441,62497287,61584697,56245823,57378924,63177247,62152971,60224557,59639526,57305230,55749622,59838703
Selena Gomez,44225459,42728314,40149938,44070271,39214880,35251295,33188078,31412431,24548334,23735708,34114772,45401776,41682048,47479027,44402100,39004558,38210965,34262217,32765316,35095021,35914172,43517095,40579463,36609226,33463083,36234787,45037550,46192326,42762542,40387246,39259982,36519494,35220112,35773493,41226389,36660718
Drake,43913473,42818182,41406846,42009015,38604950,37535819,43868813,44845860,43971987,41743741,40636370,42711709,45113492,50650675,51855952,47364513,59077980,61849052,58852234,59674718,61834372,61888662,58117767,53841156,50788165,50638321,50844512,57232049,53291481,52817931,51756277,51077157,51016144,68018241,59830842,56134604
Post Malone,43900291,50266209,49649321,48428114,47387399,44593714,43320784,52247495,51007943,61064402,58416296,56375558,58550981,57312385,53576426,51406771,48963935,47946120,49591954,47194110,44958806,44238083,42329916,41560497,41429625,42066033,41743018,43766859,41438758,45294674,41923018,49723461,45458549,42170584,40485046,52068829
Mariah Carey,43720526,10868436,10163285,10182255,10065293,10180327,10615072,11433287,12078078,12815014,13701614,23891941,48391267,13387555,12986229,12372053,12293237,12412223,12648747,12802964,13531987,14259912,16243282,26606216,59419706,14697441,14691522,14329596,14442671,14725078,14989893,14934414,15555755,16087067,17598417,32571776
Khalid,41872992,43970268,45550769,46391366,50196106,48266599,47044129,57208770,55822588,54519442,54161905,53508895,53735349,54584943,55159433,52428077,50903772,49912682,48714541,49620615,51105463,48796340,47890981,47642389,44737052,45356361,44944050,48672950,53382459,49886171,49262927,48012094,47374982,46014278,45661692,44804165
J Balvin,41410586,40710657,40721892,49985359,48126532,47068025,51996411,54891129,55019195,54609293,52739875,53921225,55998828,56934667,55443149,55727352,52132901,50355540,49446762,53396377,59113853,56461012,54155530,59727495,56611925,55129093,55254992,53633501,54531489,52317161,56073319,59879992,58476977,58813881,56613858,52863482
Sam Smith,40568895,38922098,40781736,39677014,36558174,34238827,32908229,37385149,42110397,42259434,41633002,42605952,48822034,38160663,40693943,39481575,40462845,39331635,36023960,34500844,38008867,37861548,39270648,41998873,46379282,35352608,35249735,33870031,33269257,32642690,31258337,30342545,31533445,35919214,36473100,36915079
Imagine Dragons,39744707,40117413,37025245,35511446,35540262,35185033,37506311,35172384,34102194,33083682,33384030,32385703,34190760,33860405,33677475,33543927,33105650,33243513,33818141,34256670,33882590,33389274,34046674,32985372,32350745,33071884,34141506,39246434,40057883,39534846,39899530,41447670,39732940,41181879,40161224,46129059
